Original_Feature,Importance
Contract,0.3826678250550683
InternetService,0.08694911514895777
TotalCharges,0.08472539026251448
tenure,0.07139644548350799
OnlineSecurity,0.06563169921628778
Customer_Lifetime_Months,0.06215614884441054
TechSupport,0.04770325726952427
MonthlyCharges,0.047223547071756786
Average_Monthly_Spend,0.047136379637430156
PaymentMethod,0.041686864415894045
PaperlessBilling,0.012428985721589845
MultipleLines,0.010743494272011284
OnlineBackup,0.009815325387547987
StreamingMovies,0.006800187247086788
Paperless_Billing_Flag,0.005675222370848676
SeniorCitizen,0.005074392702097281
gender,0.0023654296603439775
Dependents,0.001924010952778909
Automatic_Payment_Flag,0.0019022593149343936
StreamingTV,0.0017871695741747944
Service_Count,0.0014464307892704397
PhoneService,0.000985605629352556
Short_Tenure_Flag,0.0009371940065026957
DeviceProtection,0.00043705081577190426
Partner,0.00026093421674408274
Customer_Segment,0.00013963493359220915
High_Monthly_Charge_Flag,0.0
