Feature,Importance
categorical__Contract_Month-to-month,0.3735500579683019
categorical__InternetService_Fiber optic,0.08647301390953029
numeric__TotalCharges,0.08472539026251448
numeric__tenure,0.07139644548350799
categorical__OnlineSecurity_No,0.06537539479641678
numeric__Customer_Lifetime_Months,0.06215614884441054
numeric__MonthlyCharges,0.047223547071756786
numeric__Average_Monthly_Spend,0.047136379637430156
categorical__TechSupport_No,0.04680303145783958
categorical__PaymentMethod_Electronic check,0.0403392826173434
categorical__MultipleLines_No,0.010743494272011284
categorical__OnlineBackup_No,0.009475595584412693
categorical__PaperlessBilling_No,0.007656760966881659
categorical__StreamingMovies_Yes,0.006444903737303506
categorical__Contract_Two year,0.00642809480080695
numeric__Paperless_Billing_Flag,0.005675222370848676
numeric__SeniorCitizen,0.005074392702097281
categorical__PaperlessBilling_Yes,0.004772224754708186
categorical__Contract_One year,0.0026896722859594585
numeric__Automatic_Payment_Flag,0.0019022593149343936
categorical__StreamingTV_Yes,0.0017368065658359775
categorical__gender_Male,0.00151402534683364
numeric__Service_Count,0.0014464307892704397
categorical__Dependents_No,0.0011003497404589587
numeric__Short_Tenure_Flag,0.0009371940065026957
categorical__PhoneService_No,0.0009085317239706067
categorical__TechSupport_Yes,0.0009002258116846915
categorical__gender_Female,0.0008514043135103374
categorical__Dependents_Yes,0.0008236612123199503
categorical__PaymentMethod_Bank transfer (automatic),0.0006241093907669791
categorical__InternetService_DSL,0.00047610123942748634
categorical__PaymentMethod_Credit card (automatic),0.00047139089006016573
categorical__DeviceProtection_Yes,0.00043705081577190426
categorical__StreamingMovies_No,0.0003552835097832817
categorical__OnlineBackup_Yes,0.0003397298031352924
categorical__OnlineSecurity_Yes,0.00025630441987100407
categorical__PaymentMethod_Mailed check,0.00025208151772349973
categorical__Partner_No,0.00014819807647468994
categorical__Partner_Yes,0.00011273614026939283
categorical__PhoneService_Yes,7.707390538194933e-05
categorical__Customer_Segment_Long-Term,6.990119441839278e-05
categorical__Customer_Segment_Established,6.973373917381637e-05
categorical__StreamingTV_No internet service,5.036300833881693e-05
categorical__MultipleLines_Yes,0.0
categorical__MultipleLines_No phone service,0.0
numeric__High_Monthly_Charge_Flag,0.0
categorical__OnlineBackup_No internet service,0.0
categorical__StreamingTV_No,0.0
categorical__TechSupport_No internet service,0.0
categorical__DeviceProtection_No internet service,0.0
categorical__DeviceProtection_No,0.0
categorical__OnlineSecurity_No internet service,0.0
categorical__InternetService_No,0.0
categorical__StreamingMovies_No internet service,0.0
categorical__Customer_Segment_New,0.0
